timestamp,utilization.gpu,memory.used,memory.total,power.draw,temperature.gpu,clocks.sm
2025/05/14 13:40:50.501, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:50.601, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:50.602, 0, 1, 40960, 54.14, 28, 210
2025/05/14 13:40:50.602, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:50.602, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:50.702, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:50.703, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:50.703, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:50.703, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:50.803, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:50.803, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:50.804, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:50.804, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:50.904, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:50.904, 0, 1, 40960, 54.14, 28, 210
2025/05/14 13:40:50.904, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:50.905, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:51.005, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:51.005, 0, 1, 40960, 54.14, 28, 210
2025/05/14 13:40:51.005, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:51.006, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:51.106, 0, 1, 40960, 52.38, 29, 210
2025/05/14 13:40:51.106, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:51.106, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:51.106, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:51.206, 0, 1, 40960, 52.38, 29, 210
2025/05/14 13:40:51.207, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:51.207, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:51.207, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:51.308, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:51.308, 0, 1, 40960, 54.14, 28, 210
2025/05/14 13:40:51.308, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:51.308, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:51.409, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:51.409, 0, 1, 40960, 54.14, 28, 210
2025/05/14 13:40:51.409, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:51.409, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:51.510, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:51.510, 0, 1, 40960, 54.14, 28, 210
2025/05/14 13:40:51.510, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:51.511, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:51.611, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:51.611, 0, 1, 40960, 53.81, 28, 210
2025/05/14 13:40:51.611, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:51.612, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:51.712, 0, 1, 40960, 52.38, 29, 210
2025/05/14 13:40:51.712, 0, 1, 40960, 54.09, 28, 210
2025/05/14 13:40:51.712, 0, 1, 40960, 51.73, 28, 210
